tile_x,tile_y,cells_per_side,value_usd,drawn_area
2104,2056,8,230032140.2439563,141674598.2578125
2112,2056,8,513200650.0927714,123837187.9453125
2120,2056,8,311904127.23037595,555286220.59375
2128,2056,8,4185023681.6186275,2358690397.21875
2136,2056,8,749755648.0443211,310165518.9609375
2144,2056,8,293690654.53724337,531693543.390625
2152,2056,8,760026469.6809317,606114766.4375
2160,2056,8,315650874.2337861,238755180.7578125
2168,2056,8,842670228.2047633,511427196.390625
2176,2056,8,241172482.54796147,306584919.2109375
2184,2056,8,476414509.00217044,95511784.5078125
2192,2056,8,188080939.76097295,278546116.875
2200,2056,8,171104375.62309417,126032025.65625
2208,2056,8,217023976.30449337,105417737.515625
